filename,sample,target_formula,polymorph_rank,oqmd_composition_id,oqmd_entry_id,oqmd_structure_id,spacegroup_number,n_sites,stability_eV_per_atom,stability_meV_per_atom,phonon_status
0482_ZrSiPt5_01_sg123_oqmd2146113_-42meV.cif,482,ZrSiPt5,1,Pt5 Si1 Zr1,2146113,10394868,123,7,-0.041757,-42,Stable
0483_La5Al3Co2_01_sg63_oqmd1782939_-1meV.cif,483,La5Al3Co2,1,Al3 Co2 La5,1782939,8640665,63,20,-0.000666,-1,unStable
0486_Al4FeCo3_01_sg229_oqmd2146849_-6meV.cif,486,Al4FeCo3,1,Al4 Co3 Fe1,2146849,10398080,229,8,-0.006495,-6,Stable
0487_Al8FeCo7_01_sg221_oqmd2154926_-3meV.cif,487,Al8FeCo7,1,Al8 Co7 Fe1,2154926,10435605,221,16,-0.003415,-3,Stable
0489_Gd3CoSn6_01_sg63_oqmd1790943_-25meV.cif,489,Gd3CoSn6,1,Co1 Gd3 Sn6,1790943,8643261,63,20,-0.025145,-25,Stable
0490_GdCo4Sn6_01_sg121_oqmd1368900_-4meV.cif,490,GdCo4Sn6,1,Co4 Gd1 Sn6,1368900,7749672,121,11,-0.004145,-4,unStable
0491_TiGePt5_01_sg123_oqmd2146080_-19meV.cif,491,TiGePt5,1,Ge1 Pt5 Ti1,2146080,10394760,123,7,-0.018827,-19,Stable
0492_Ti2GePt8_01_sg123_oqmd2149411_-4meV.cif,492,Ti2GePt8,1,Ge1 Pt8 Ti2,2149411,10409190,123,11,-0.003864,-4,Stable
0493_TiSiPt5_01_sg123_oqmd2146105_-16meV.cif,493,TiSiPt5,1,Pt5 Si1 Ti1,2146105,10394802,123,7,-0.016478,-16,Stable
0494_Ti2SiPt8_01_sg123_oqmd2149228_-5meV.cif,494,Ti2SiPt8,1,Pt8 Si1 Ti2,2149228,10408680,123,11,-0.004753,-5,Stable
0495_GdFeGe3_01_sg107_oqmd1364532_-19meV.cif,495,GdFeGe3,1,Fe1 Gd1 Ge3,1364532,7731378,107,5,-0.018993,-19,unStable
0495_GdFeGe3_02_sg65_oqmd1902227_+35meV.cif,495,GdFeGe3,2,Fe1 Gd1 Ge3,1902227,9942706,65,10,0.035296,35,Stable
0496_Gd2Fe3Ge5_01_sg15_oqmd1800260_-9meV.cif,496,Gd2Fe3Ge5,1,Fe3 Gd2 Ge5,1800260,8644196,15,20,-0.008568,-9,unStable
0496_Gd2Fe3Ge5_02_sg72_oqmd1792821_+4meV.cif,496,Gd2Fe3Ge5,2,Fe3 Gd2 Ge5,1792821,8642699,72,20,0.004179,4,Stable
0497_GdFeGe2_01_sg11_oqmd1377698_+0meV.cif,497,GdFeGe2,1,Fe1 Gd1 Ge2,1377698,7787482,11,8,0.000159,0,Stable
0497_GdFeGe2_02_sg63_oqmd30184_+59meV.cif,497,GdFeGe2,2,Fe1 Gd1 Ge2,30184,123338,63,8,0.058615,59,unStable
0497_GdFeGe2_03_sg225_oqmd421779_+458meV.cif,497,GdFeGe2,3,Fe1 Gd1 Ge2,421779,1062578,225,4,0.457812,458,unStable
0503_CoSiY_01_sg129_oqmd1368530_-43meV.cif,503,CoSiY,1,Co1 Si1 Y1,1368530,7748050,129,6,-0.042928,-43,Stable
0503_CoSiY_02_sg62_oqmd1470165_+31meV.cif,503,CoSiY,2,Co1 Si1 Y1,1470165,8091986,62,12,0.03127,31,Stable
0503_CoSiY_03_sg62_oqmd1444920_+32meV.cif,503,CoSiY,3,Co1 Si1 Y1,1444920,7933068,62,12,0.032191,32,Stable
0503_CoSiY_04_sg194_oqmd1447194_+102meV.cif,503,CoSiY,4,Co1 Si1 Y1,1447194,7952154,194,6,0.101903,102,Stable
0503_CoSiY_05_sg194_oqmd1447925_+102meV.cif,503,CoSiY,5,Co1 Si1 Y1,1447925,7956794,194,6,0.102191,102,Stable
0503_CoSiY_06_sg186_oqmd1448661_+110meV.cif,503,CoSiY,6,Co1 Si1 Y1,1448661,7961616,186,6,0.109875,110,Stable
0503_CoSiY_07_sg189_oqmd1445640_+171meV.cif,503,CoSiY,7,Co1 Si1 Y1,1445640,7939578,189,9,0.170757,171,Stable
0503_CoSiY_08_sg189_oqmd1446442_+172meV.cif,503,CoSiY,8,Co1 Si1 Y1,1446442,7946438,189,9,0.17242,172,Stable
0503_CoSiY_09_sg216_oqmd860892_+458meV.cif,503,CoSiY,9,Co1 Si1 Y1,860892,3327679,216,3,0.457614,458,unStable
0503_CoSiY_10_sg216_oqmd580703_+637meV.cif,503,CoSiY,10,Co1 Si1 Y1,580703,3049835,216,3,0.637482,637,unStable
0503_CoSiY_11_sg194_oqmd1455271_+661meV.cif,503,CoSiY,11,Co1 Si1 Y1,1455271,8001418,194,6,0.660836,661,unStable
0503_CoSiY_12_sg189_oqmd1456113_+801meV.cif,503,CoSiY,12,Co1 Si1 Y1,1456113,8008018,189,9,0.800855,801,unStable
0503_CoSiY_13_sg216_oqmd858436_+1316meV.cif,503,CoSiY,13,Co1 Si1 Y1,858436,3390514,216,3,1.31634,1316,unStable
0504_CoSi3Y_01_sg107_oqmd1475971_-17meV.cif,504,CoSi3Y,1,Co1 Si3 Y1,1475971,8127710,107,5,-0.017301,-17,unStable
0504_CoSi3Y_02_sg65_oqmd1365767_+8meV.cif,504,CoSi3Y,2,Co1 Si3 Y1,1365767,7736544,65,10,0.007523,8,Stable
0504_CoSi3Y_03_sg65_oqmd1799027_+8meV.cif,504,CoSi3Y,3,Co1 Si3 Y1,1799027,8599041,65,10,0.007815,8,Stable
0506_Al3Cu2Y_01_sg191_oqmd1370163_-11meV.cif,506,Al3Cu2Y,1,Al3 Cu2 Y1,1370163,7755058,191,6,-0.010838,-11,Stable
0507_CuSnY_01_sg186_oqmd1468383_-69meV.cif,507,CuSnY,1,Cu1 Sn1 Y1,1468383,8080486,186,6,-0.069092,-69,Stable
0507_CuSnY_02_sg4_oqmd26268_+0meV.cif,507,CuSnY,2,Cu1 Sn1 Y1,26268,49843,4,6,7.7e-05,0,Stable
0507_CuSnY_03_sg62_oqmd1467949_+23meV.cif,507,CuSnY,3,Cu1 Sn1 Y1,1467949,8077008,62,12,0.023103,23,Stable
0507_CuSnY_04_sg194_oqmd1469419_+37meV.cif,507,CuSnY,4,Cu1 Sn1 Y1,1469419,8087358,194,6,0.036525,37,unStable
0507_CuSnY_05_sg194_oqmd1469875_+37meV.cif,507,CuSnY,5,Cu1 Sn1 Y1,1469875,8090194,194,6,0.036682,37,unStable
0507_CuSnY_06_sg194_oqmd29812_+37meV.cif,507,CuSnY,6,Cu1 Sn1 Y1,29812,49470,194,6,0.036924,37,unStable
0507_CuSnY_07_sg189_oqmd1467062_+87meV.cif,507,CuSnY,7,Cu1 Sn1 Y1,1467062,8069206,189,9,0.086849,87,Stable
0507_CuSnY_08_sg189_oqmd1467515_+103meV.cif,507,CuSnY,8,Cu1 Sn1 Y1,1467515,8073126,189,9,0.103299,103,Stable
0507_CuSnY_09_sg194_oqmd1468841_+389meV.cif,507,CuSnY,9,Cu1 Sn1 Y1,1468841,8083664,194,6,0.388975,389,unStable
0507_CuSnY_10_sg189_oqmd1479985_+507meV.cif,507,CuSnY,10,Cu1 Sn1 Y1,1479985,8151228,189,9,0.506997,507,unStable
0510_B2NbNi2_01_sg139_oqmd1378348_+12meV.cif,510,B2NbNi2,1,B2 Nb1 Ni2,1378348,7790382,139,5,0.012114,12,Stable
0512_C2CrSc_01_sg194_oqmd14516_-10meV.cif,512,C2CrSc,1,C2 Cr1 Sc1,14516,62467,194,8,-0.00995,-10,Stable
0512_C2CrSc_02_sg59_oqmd14515_+0meV.cif,512,C2CrSc,2,C2 Cr1 Sc1,14515,1769466,59,16,8.2e-05,0,Stable
0513_C2LaRu_01_sg63_oqmd1751220_+1meV.cif,513,C2LaRu,1,C2 La1 Ru1,1751220,8387521,63,8,0.000923,1,Stable
0513_C2LaRu_02_sg38_oqmd1481327_+25meV.cif,513,C2LaRu,2,C2 La1 Ru1,1481327,8158096,38,4,0.024649,25,unStable
0514_LaNiSi3_01_sg107_oqmd1364676_-25meV.cif,514,LaNiSi3,1,La1 Ni1 Si3,1364676,7732004,107,5,-0.024676,-25,unStable
0514_LaNiSi3_02_sg65_oqmd1795175_+42meV.cif,514,LaNiSi3,2,La1 Ni1 Si3,1795175,8590498,65,10,0.042274,42,unStable
